planner,seed,ablation,metric,trace_hash,events,pairs,rejected_actions,roc_auc,precision,recall,f1,precision_at_k,adjusted_rand,nmi,within_mean,between_mean,separation
NaiveUniform,11,none,composite,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,1.00000000,0.70312500,1.00000000,0.82568807,1.00000000,0.71794872,0.90519722,,,
NaiveUniform,11,none,Timing,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,0.68666667,0.09090909,1.00000000,0.16666667,0.11777778,0.00000000,0.00000000,1.00000000,0.92710213,0.07289787
NaiveUniform,11,none,Amount,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,1.00000000,0.11111111,1.00000000,0.20000000,1.00000000,0.04347826,0.37574159,1.00000000,0.67000000,0.33000000
NaiveUniform,11,none,Sequence,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,0.91111111,0.36000000,1.00000000,0.52941176,0.34888889,0.45679012,0.77026959,1.00000000,0.17777778,0.82222222
NaiveUniform,11,none,Destination,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000
NaiveUniform,11,none,Synchrony,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000
NaiveUniform,11,none,Funding,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000
NaiveUniform,11,none,Route,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,0.77777778,0.18367347,1.00000000,0.31034483,0.18444444,0.18518519,0.54866200,1.00000000,0.44444444,0.55555556
NaiveUniform,11,none,BalanceRank,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,0.90891556,0.19266055,0.93333333,0.31939163,0.63333333,0.00041905,0.09455928,0.86203792,0.45279621,0.40924172
NaiveUniform,11,without_timing,composite,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,,,
NaiveUniform,11,without_timing,Timing,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,0.68666667,0.09090909,1.00000000,0.16666667,0.11777778,0.00000000,0.00000000,1.00000000,0.92710213,0.07289787
NaiveUniform,11,without_timing,Amount,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,1.00000000,0.11111111,1.00000000,0.20000000,1.00000000,0.04347826,0.37574159,1.00000000,0.67000000,0.33000000
NaiveUniform,11,without_timing,Sequence,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,0.91111111,0.36000000,1.00000000,0.52941176,0.34888889,0.45679012,0.77026959,1.00000000,0.17777778,0.82222222
NaiveUniform,11,without_timing,Destination,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000
NaiveUniform,11,without_timing,Synchrony,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000
NaiveUniform,11,without_timing,Funding,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000
NaiveUniform,11,without_timing,Route,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,0.77777778,0.18367347,1.00000000,0.31034483,0.18444444,0.18518519,0.54866200,1.00000000,0.44444444,0.55555556
NaiveUniform,11,without_timing,BalanceRank,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,0.90891556,0.19266055,0.93333333,0.31939163,0.63333333,0.00041905,0.09455928,0.86203792,0.45279621,0.40924172
NaiveUniform,11,without_amount,composite,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,,,
NaiveUniform,11,without_amount,Timing,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,0.68666667,0.09090909,1.00000000,0.16666667,0.11777778,0.00000000,0.00000000,1.00000000,0.92710213,0.07289787
NaiveUniform,11,without_amount,Amount,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,1.00000000,0.11111111,1.00000000,0.20000000,1.00000000,0.04347826,0.37574159,1.00000000,0.67000000,0.33000000
NaiveUniform,11,without_amount,Sequence,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,0.91111111,0.36000000,1.00000000,0.52941176,0.34888889,0.45679012,0.77026959,1.00000000,0.17777778,0.82222222
NaiveUniform,11,without_amount,Destination,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000
NaiveUniform,11,without_amount,Synchrony,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000
NaiveUniform,11,without_amount,Funding,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000
NaiveUniform,11,without_amount,Route,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,0.77777778,0.18367347,1.00000000,0.31034483,0.18444444,0.18518519,0.54866200,1.00000000,0.44444444,0.55555556
NaiveUniform,11,without_amount,BalanceRank,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,0.90891556,0.19266055,0.93333333,0.31939163,0.63333333,0.00041905,0.09455928,0.86203792,0.45279621,0.40924172
NaiveUniform,11,without_sequence,composite,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,,,
NaiveUniform,11,without_sequence,Timing,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,0.68666667,0.09090909,1.00000000,0.16666667,0.11777778,0.00000000,0.00000000,1.00000000,0.92710213,0.07289787
NaiveUniform,11,without_sequence,Amount,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,1.00000000,0.11111111,1.00000000,0.20000000,1.00000000,0.04347826,0.37574159,1.00000000,0.67000000,0.33000000
NaiveUniform,11,without_sequence,Sequence,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,0.91111111,0.36000000,1.00000000,0.52941176,0.34888889,0.45679012,0.77026959,1.00000000,0.17777778,0.82222222
NaiveUniform,11,without_sequence,Destination,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000
NaiveUniform,11,without_sequence,Synchrony,f6dad6024ab02e51ad81c873dcf03bfe94ad01d69298d3fe4bb9d83359413e47,6000,4950,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000
